s/n,longitude,latitude
211,8.561918333,12.02828667
212,n/a,n/a
213,8.548063333,12.02007167
214,8.5623767,12.0276633
215,8.556993333,12.02761833
216,8.5458217,12.0300367
217,8.562441667,12.02336667
218,n/a,n/a
219,8.549326667,12.01985
220,8.5626167,12.0266133
221,8.559311667,12.02783667
222,8.5458876,12.0309805
223,8.560201667,12.02055167
224,n/a,n/a
225,8.550393333,12.019665
226,8.56254,12.0244483
227,8.560343333,12.02819333
228,8.5464435,12.0331204
229,8.563396667,12.020405
230,n/a,n/a
231,8.551045,12.01978
232,8.5625233,12.023315
233,8.562246667,12.02801167
234,8.5471242,12.031933
235,n/a,n/a
236,n/a,n/a
237,8.55166,12.02005
238,8.5615133,12.0232417
239,8.562541667,12.02699667
240,8.5487667,12.03082
241,n/a,n/a
242,n/a,n/a
243,8.551848333,12.02116833
244,8.560345,12.0227883
245,8.562551667,12.02505833
246,8.5529567,12.030789
247,n/a,n/a
248,n/a,n/a
249,8.551618333,12.02258
250,8.5602052,12.0206513
251,8.562488333,12.02337667
252,8.5539458,12.030763
253,n/a,n/a
254,n/a,n/a
255,8.550798333,12.023605
256,8.5604017,12.0203683
257,8.56151,12.02325833
258,8.555615,12.0297583
259,n/a,n/a
260,n/a,n/a
261,8.551766667,12.02285
262,8.5630633,12.0204283
263,8.560163333,12.02200833
264,8.5561225,12.0276052
265,n/a,n/a
266,n/a,n/a
267,8.551766667,12.02285
268,8.564095,12.0204633
269,8.560171667,12.02064
270,8.5611832,12.028263
271,n/a,n/a
272,n/a,n/a
273,8.551833333,12.026025
274,n/a,n/a
275,8.56026,12.02039833
276,8.5626233,12.0266967
277,n/a,n/a
278,n/a,n/a
279,8.551945,12.02611667
280,n/a,n/a
281,8.562071667,12.02038667
282,8.562545,12.024415
283,n/a,n/a
284,n/a,n/a
285,8.552681667,12.02617833
286,n/a,n/a
287,8.564138333,12.02048667
288,8.5625033,12.0232784
289,n/a,n/a
290,n/a,n/a
291,8.553353333,12.02621333
292,n/a,n/a
293,n/a,n/a
294,8.5603917,12.0228083
295,n/a,n/a
296,n/a,n/a
297,8.55428,12.02621833
298,n/a,n/a
299,n/a,n/a
300,8.5602117,12.02107
301,n/a,n/a
302,n/a,n/a
303,8.55427,12.02717167
304,n/a,n/a
305,n/a,n/a
306,8.5601983,12.0204768
307,n/a,n/a
308,n/a,n/a
309,8.554335,12.02716
310,n/a,n/a
311,n/a,n/a
312,8.5635663,12.019745
313,n/a,n/a
314,n/a,n/a
315,8.554743333,12.027155
316,n/a,n/a
317,n/a,n/a
318,n/a,n/a
319,n/a,n/a
320,n/a,n/a
321,8.55431,12.02755167
322,n/a,n/a
323,n/a,n/a
324,n/a,n/a
325,n/a,n/a
326,n/a,n/a
327,8.5553,12.02754
328,n/a,n/a
329,n/a,n/a
330,n/a,n/a
331,n/a,n/a
332,n/a,n/a
333,8.556783333,12.02758333
334,n/a,n/a
335,n/a,n/a
336,n/a,n/a
337,n/a,n/a
338,n/a,n/a
339,8.55744,12.02758
340,n/a,n/a
341,n/a,n/a
342,n/a,n/a
343,n/a,n/a
344,n/a,n/a
345,8.559198333,12.02775667
346,n/a,n/a
347,n/a,n/a
348,n/a,n/a
349,n/a,n/a
350,n/a,n/a
351,8.55986,12.02798667
352,n/a,n/a
353,n/a,n/a
354,n/a,n/a
355,n/a,n/a
356,n/a,n/a
357,8.560873333,12.02824167
358,n/a,n/a
359,n/a,n/a
360,n/a,n/a
361,n/a,n/a
362,n/a,n/a
363,8.56193,12.028195
364,n/a,n/a
365,n/a,n/a
366,n/a,n/a
367,n/a,n/a
368,n/a,n/a
369,8.5624,12.02756833
370,n/a,n/a
371,n/a,n/a
372,n/a,n/a
373,n/a,n/a
374,n/a,n/a
375,8.562623333,12.0266
376,n/a,n/a
377,n/a,n/a
378,n/a,n/a
379,n/a,n/a
380,n/a,n/a
381,8.56255,12.024735
382,n/a,n/a
383,n/a,n/a
384,n/a,n/a
385,n/a,n/a
386,n/a,n/a
387,8.562505,12.02333
388,n/a,n/a
389,n/a,n/a
390,n/a,n/a
391,n/a,n/a
392,n/a,n/a
393,8.561753333,12.02326333
394,n/a,n/a
395,n/a,n/a
396,n/a,n/a
397,n/a,n/a
398,n/a,n/a
399,8.560403333,12.02287833
400,n/a,n/a
401,n/a,n/a
402,n/a,n/a
403,n/a,n/a
404,n/a,n/a
405,8.560191667,12.02182
406,n/a,n/a
407,n/a,n/a
408,n/a,n/a
409,n/a,n/a
410,n/a,n/a
411,8.560205,12.02068
412,n/a,n/a
413,n/a,n/a
414,n/a,n/a
415,n/a,n/a
416,n/a,n/a
417,8.560211667,12.02061167
418,n/a,n/a
419,n/a,n/a
420,n/a,n/a
421,n/a,n/a
422,n/a,n/a
423,8.560856667,12.02033667
424,n/a,n/a
425,n/a,n/a
426,n/a,n/a
427,n/a,n/a
428,n/a,n/a
429,8.562501667,12.02042833
430,n/a,n/a
431,n/a,n/a
432,n/a,n/a
